"slug","symbol","date","open","close","market_cap","rank","ret","cum_ret","log_ret","cum_log_ret","Code","market_cap_category"
"propy","PRO",2023-07-10,0.35,0.41,41485388.98,232,0.17,-0.83,0.16,-1.65,"PB2024","Under 50M"
"tokamak-network","TON",2022-08-31,1.79,1.8,4903827.94,413,0.01,0.82,0.01,-0.62,"CW2020","Under 50M"
"lcx","LCX",2021-11-17,0.29,0.27,197778896.9,264,-0.07,66368.99,-0.07,11.07,"CW2020","Under 500M"
"dydx-chain","DYDX",2024-01-05,2.76,2.65,0,83,-0.04,0.09,-0.04,0.09,"PB2024","Under 50M"
"tenset","10SET",2022-08-02,3.09,3.16,0,640,0.02,2.57,0.02,1.36,"CW2020","Under 50M"
"vegaprotocol","VEGA",2023-09-17,1.24,1.21,65949344.42,672,-0.02,-0.93,-0.02,-2.65,"PB2024","Under 100M"
"multiversx-egld","EGLD",2024-03-20,54.95,60.98,1629343187,75,0.11,2.69,0.1,1.24,"PB2024","Under 10B"
"idex","IDEX",2022-11-06,0.06,0.06,40524348.74,606,0,2.96,0,1.35,"CW2020","Under 50M"
"nexo","NEXO",2024-04-13,1.32,1.27,711012995,108,-0.04,3.37,-0.04,1.48,"PB2024","Under 1B"
"ribbon-finance","RBN",2023-04-01,0.22,0.22,118580394.5,123,0,-0.95,0,-3.07,"PB2024","Under 500M"
"deso","DESO",2023-07-22,8.94,8.98,79817737.1,254,0,-0.95,0,-2.84,"PB2024","Under 100M"
"bora","BORA",2021-11-27,1.21,1.31,1129901147,324,0.08,2664.47,0.08,7.81,"CW2020","Under 10B"
"nem","XEM",2017-05-13,0.13,0.13,1143558000,186,0,5,0,1.78,"BR2016","Under 10B"
"oasys","OAS",2023-02-12,0.09,0.09,0,374,0,0.27,0,0.25,"PB2024","Under 50M"
"trueusd","TUSD",2020-12-09,1,1,300152285.1,134,0,0.07,0,0.08,"BR2020","Under 500M"
"propy","PRO",2023-12-13,0.52,0.68,67653267.18,232,0.31,-0.71,0.27,-1.16,"PB2024","Under 100M"
"stafi","FIS",2023-09-13,0.23,0.23,14050107.16,718,0,-0.88,0,-2.06,"PB2024","Under 50M"
"harmony","ONE",2021-06-27,0.06,0.07,690048883.1,233,0.17,19.65,0.15,3.04,"CW2020","Under 1B"
"dash","DASH",2023-08-05,30.82,30.92,352417308.1,178,0,69.7,0,4.14,"PB2024","Under 500M"
"polkadot-new","DOT",2023-08-19,4.51,4.52,5513064252,14,0,0.3,0,0.35,"PB2024","Under 10B"
"rarible","RARI",2022-11-25,2.28,2.27,32156101.73,465,0,2.06,0,0.93,"CW2020","Under 50M"
"wrapped-hedera","WHBAR",2023-09-09,0.05,0.05,1629234688,204,0,-0.17,0,-0.18,"PB2024","Under 10B"
"fantom","FTM",2024-01-26,0.34,0.36,1017875270,50,0.06,138.35,0.06,4.94,"PB2024","Under 10B"
"kucoin-token","KCS",2018-03-28,2.53,2.62,238475502,86,0.04,2.25,0.03,1.16,"CW2016","Under 500M"
"xcad-network","XCAD",2022-02-10,5.69,5.33,129636383.6,692,-0.06,2.29,-0.07,1.13,"CW2020","Under 500M"
"airswap","AST",2023-07-23,0.11,0.11,19567103.72,829,0,213.11,0,5.42,"PB2024","Under 50M"
"flex","FLEX",2023-12-31,0.49,0.47,46617979.38,309,-0.04,521.83,-0.04,6.27,"PB2024","Under 50M"
"cortex","CTXC",2018-05-08,1.87,1.79,268860984.9,532,-0.04,1.01,-0.04,0.71,"CW2016","Under 500M"
"finschia","FNSA",2024-02-12,32.15,32.92,249812516.5,277,0.02,2.02,0.02,1,"PB2024","Under 500M"
"chainlink","LINK",2018-10-20,0.36,0.37,129768100,16,0.03,0.33,0.03,0.33,"CW2016","Under 500M"
"alpha-quark-token","AQT",2022-06-12,1.48,1.37,35744507.81,691,-0.07,0.5,-0.08,0.48,"CW2020","Under 50M"
"cellframe","CELL",2024-04-18,0.79,0.81,23262118.14,831,0.03,-0.79,0.03,-1.55,"PB2024","Under 50M"
"golem-network-tokens","GLM",2017-10-26,0.2,0.19,161823963.3,168,-0.05,83.86,-0.05,4.46,"CW2016","Under 500M"
"trueusd","TUSD",2023-01-18,1,1,939495039.9,134,0,0.07,0,0.08,"PB2024","Under 1B"
"ftx-token","FTT",2023-07-09,1.53,1.45,475919876.3,136,-0.05,0.09,-0.05,-0.02,"PB2024","Under 500M"
"bnb","BNB",2019-04-07,19.11,19.11,2697901876,4,0,68.61,0,4.29,"PB2020","Under 10B"
"superfarm","SUPER",2021-02-24,1.54,1.45,145400471.5,141,-0.06,-0.1,-0.06,-0.1,"BR2020","Under 500M"
"ark","ARK",2023-11-20,1.58,1.58,280241689.6,345,0,33.13,0,3.66,"PB2024","Under 500M"
"phala-network","PHA",2021-11-07,0.79,0.77,210559303.1,365,-0.03,3.02,-0.03,1.35,"CW2020","Under 500M"
"assemble-protocol","ASM",2022-04-11,0.05,0.05,54280989.71,612,0,5.12,0,1.88,"CW2020","Under 100M"
"sentinel-protocol","UPP",2021-03-18,0.16,0.16,74852546.33,655,0,2191.22,0,7.69,"CW2020","Under 100M"
"oasis-network","ROSE",2024-02-25,0.12,0.12,816894851.6,111,0,1.16,0,0.75,"PB2024","Under 1B"
"ontology","ONT",2021-04-29,1.71,1.68,1376449957,194,-0.02,-0.38,-0.02,-0.55,"CW2020","Under 10B"
